probe_id,parent,parent_stereo_centers,parent_stereo_centers_flipped,isomeric_SMILES,parent_SMILES,probe_type,design_hypothesis,experimental_status,require_stereochemical_assay
STR-1-0,1,2,1,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-1-1,1,2,1,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-1-2,1,2,2,O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,enantiomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-2-3,2,0,0,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,unspecified,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-2-4,2,0,0,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,unspecified,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-2-5,2,0,0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,unspecified,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-2-6,2,0,0,O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,unspecified,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-3-7,3,2,2,CC1(C)OC[C@H]([C@@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,enantiomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-3-8,3,2,1,CC1(C)OC[C@@H]([C@@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-3-9,3,2,1,CC1(C)OC[C@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-12-10,12,2,1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-12-11,12,2,2,C#CCOC1=C(O)C(=O)O[C@H]1[C@@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,enantiomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-12-12,12,2,1,C#CCOC1=C(O)C(=O)O[C@H]1[C@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-18-13,18,2,1,O=C1O[C@@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-18-14,18,2,1,O=C1O[C@H]([C@@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-18-15,18,2,2,O=C1O[C@@H]([C@@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,enantiomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
STR-24-16,24,2,1,CCCOC1=C(O)[C@H]([C@H](O)CO)OC1=O,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,diastereomer,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF",untested,yes - separate R/S readout
