molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked,mol,chemotype_scaffold,lipinski_violations,pains_flag,brenk_flag,druglike_lipinski,pains_clean,brenk_clean,druglike,matched_tier,experimental_round,arm,blinded_id,ranked_shortlist_position,oversight_status,eligible_for_experiment,probe_id,design_hypothesis
NEG-25-no_Br_or_alkyne,negative_control,control_design,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,25.0,0.5,0.85,0.3571,0.7,0.7,0.3,0.6,0.15,IN-DOMAIN,TAF-disrupting control: no_Br_or_alkyne,untested,2026-09-10T19:19:58Z,B_taf_disrupting,proposed via portfolio group balance at round design (section 35),<rdkit.Chem.rdchem.Mol object at 0x12dbce570>,O=C1C=CCO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,model_ranked,R1-4474,1.0,PENDING_REVIEW,False,,
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1.0,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,B_taf_disrupting,proposed via portfolio group balance at round design (section 35),<rdkit.Chem.rdchem.Mol object at 0x12dbcf680>,O=C1C=CCO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,model_ranked,R1-9434,2.0,PENDING_REVIEW,False,,
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18.0,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,B_taf_disrupting,proposed via portfolio group balance at round design (section 35),<rdkit.Chem.rdchem.Mol object at 0x12dbcd8c0>,O=C1C=C(OCc2ccccc2)CO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,model_ranked,R1-6211,3.0,PENDING_REVIEW,False,,
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24.0,0.25,0.355,0.4785,0.5789,0.5789,0.4211,0.6,0.355,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,B_taf_disrupting,proposed via portfolio group balance at round design (section 35),<rdkit.Chem.rdchem.Mol object at 0x12dbcdfc0>,O=C1C=CCO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,diversity_topup,R1-6628,4.0,PENDING_REVIEW,False,,
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2.0,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,B_taf_disrupting,proposed via portfolio group balance at round design (section 35),<rdkit.Chem.rdchem.Mol object at 0x12dbcf8b0>,O=C1C=CCO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,diversity_topup,R1-5175,5.0,PENDING_REVIEW,False,,
MC-5,medchem_baseline,traditional_medicinal_chemistry,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,N#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18.0,0.5,0.3988,0.4887,0.6279,0.6,0.3721,0.5,0.3988,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x12dbcfae0>,O=C1C=CCO1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,diversity_topup,R1-3609,6.0,PENDING_REVIEW,False,,
,,,,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-1-0,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-1-1,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-1-2,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-2-3,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-2-4,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-2-5,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@@H](O)CO)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-2-6,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CC1(C)OC[C@H]([C@@H]2OC(=O)C(O)=C2O)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-3-7,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CC1(C)OC[C@@H]([C@@H]2OC(=O)C(O)=C2O)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-3-8,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CC1(C)OC[C@H]([C@H]2OC(=O)C(O)=C2O)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-3-9,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,C#CCOC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-12-10,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,C#CCOC1=C(O)C(=O)O[C@H]1[C@@H]1COC(C)(C)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-12-11,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,C#CCOC1=C(O)C(=O)O[C@H]1[C@H]1COC(C)(C)O1,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-12-12,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-18-13,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@H]([C@@H](O)CO)C(OCc2ccccc2)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-18-14,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@@H](O)CO)C(OCc2ccccc2)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-18-15,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CCCOC1=C(O)[C@H]([C@H](O)CO)OC1=O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-24-16,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CCCOC1=C(O)[C@H]([C@@H](O)CO)OC1=O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-24-17,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,CCCOC1=C(O)[C@@H]([C@@H](O)CO)OC1=O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-24-18,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@H](O)CBr)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-25-19,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@H]([C@@H](O)CBr)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-25-20,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
,,,,O=C1O[C@@H]([C@@H](O)CBr)C(O)=C1O,,,,,,,,,,,,untested,,,,,,,,,,,,,,,,,,,,STR-25-21,"resolves TAF-4 (defined R/S): if enantiomer/diastereomer activity differs, stereochemistry is a genuine TAF"
