strategy,parent_id,generated_SMILES,isomeric_SMILES,parent_similarity,experimental_status,generation_mode,source,selection_reason,scaffold_hop,chemistry_status,rejection_reason
bioisosteric_replacement,12,COC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1.c1ccccc1,COC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1.c1ccccc1,0.6522,untested,medchem_baseline,traditional_medicinal_chemistry,bioisostere of active parent,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
bioisosteric_replacement,12,C#N.COC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C#N.COC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.6596,untested,medchem_baseline,traditional_medicinal_chemistry,bioisostere of active parent,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,1,Cl.Cl.O=C(Cl)C(O)=CO,Cl.Cl.O=C(Cl)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,1,Br.Br.O=C(Br)C(O)=CO,Br.Br.O=C(Br)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,1,I.I.O=C(I)C(O)=CO,I.I.O=C(I)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,3,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,3,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,3,C.C.I.I.I.I.O=C(I)C(O)=CO,C.C.I.I.I.I.O=C(I)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,4,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,0.1961,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
substituent_scanning,4,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,0.1961,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,INVALID_MULTI_FRAGMENT,SMILES unparseable or multi-fragment (not a single molecule)
