molecule_id,synthetic_accessibility_score,stereocenter_count,defined_stereocenter_count,undefined_stereocenter_count,ring_count,rotatable_bonds,stereochemical_complexity,route_status,route_note,synthetic_feasibility_class
REV-DE_NOVO-0,2.621,1,0,1,2,6,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-1,5.464,9,8,1,5,3,high,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",MODERATE
REV-DE_NOVO-2,3.571,1,0,1,1,4,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-3,1.778,0,0,0,2,3,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-4,2.231,0,0,0,4,6,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-5,4.591,2,0,2,1,1,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",MODERATE
REV-DE_NOVO-6,3.037,2,2,0,1,3,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-7,3.114,1,1,0,1,3,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-8,3.815,1,1,0,4,4,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-9,2.064,0,0,0,2,6,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-10,1.927,0,0,0,2,5,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-11,2.897,1,0,1,2,4,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-12,2.515,1,0,1,3,2,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-13,2.43,0,0,0,2,5,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-14,2.994,3,1,2,3,8,high,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-15,3.749,6,3,3,6,6,high,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-16,3.424,0,0,0,4,4,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-17,2.826,1,0,1,2,2,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-18,3.017,1,0,1,2,4,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-19,2.893,0,0,0,4,3,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-20,2.845,0,0,0,1,2,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-21,3.049,2,2,0,3,6,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
REV-DE_NOVO-22,2.262,0,0,0,3,2,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE
