molecule_id,delivery_strategy,systemic_exposure_likelihood,BLB_compatibility,RWM_compatibility,perilymph_access_likelihood,endolymph_access_likelihood,OHC_uptake_likelihood,cochlear_retention_likelihood,local_exposure_likelihood,ascorbate_SVCT_hypothesis,delivery_confidence,delivery_evidence_level,note
REV-DE_NOVO-0,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-1,EXPERIMENTAL,MODERATE,LOW,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-2,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,LOW,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-3,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,LOW,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-4,EXPERIMENTAL,MODERATE,LOW,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-5,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,LOW,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-6,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-7,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,MODERATE,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-8,EXPERIMENTAL,MODERATE,LOW,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
REV-DE_NOVO-9,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,MODERATE,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,"Physchem proxies only - NOT experimental cochlear PK. OHC uptake through Vitamin-C transporters (SVCT2/SVCT1) is an untested HYPOTHESIS for ascorbate-like molecules, not a conclusion."
